idx,file,image,node,net_a,net_b,kind,shorted_components,cut_degree,n_cut_sites,single_cut,path_len_exact,detour,path_len,near_detected_xover,near_gt_xover,verdict,note
7,weld_07_circuit_1134_n5_n6.png,circuit_1134.jpg,0,n5,n6,INTER-COMPONENT,,3,9,1,1119,1.83,1150,3.0,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged"
47,weld_47_circuit_1134_0_n6.png,circuit_1134.jpg,0,0,n6,SELF-SHORT,3,3,3,1,518,1.33,4,225.9,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect"
48,weld_48_circuit_1134_n3_n5.png,circuit_1134.jpg,0,n3,n5,SELF-SHORT,10,,0,0,6,1.33,4,197.2,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect"
55,weld_55_circuit_1134_0_n3.png,circuit_1134.jpg,0,0,n3,INTER-COMPONENT,,4,3,1,513,1.32,627,90.5,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged"
6,weld_06_circuit_1194_0_n9.png,circuit_1194.jpg,n4,0,n9,INTER-COMPONENT,,4,3,1,251,2.13,251,,,,"convention not established for this image  [rule-applied, not individually inspected]"
56,weld_56_circuit_1194_0_n2.png,circuit_1194.jpg,n7,0,n2,INTER-COMPONENT,,,0,0,2,1.32,269,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
16,weld_16_circuit_1209_n4_n6.png,circuit_1209.jpg,0,n4,n6,INTER-COMPONENT,,4,1,1,300,1.51,533,115.2,,,"convention not established for this image  [rule-applied, not individually inspected]"
28,weld_28_circuit_1209_0_n6.png,circuit_1209.jpg,0,0,n6,SELF-SHORT,3,4,1,1,212,1.5,533,115.9,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
29,weld_29_circuit_1209_n1_n2.png,circuit_1209.jpg,n1,n1,n2,SELF-SHORT,0;9,,0,0,4,1.5,3,413.3,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
49,weld_49_circuit_1209_0_n4.png,circuit_1209.jpg,0,0,n4,SELF-SHORT,6,,0,0,89,1.33,4,115.2,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
43,weld_43_circuit_1243_0_n7.png,circuit_1243.jpg,n16,0,n7,INTER-COMPONENT,,,0,0,3,1.34,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared"
4,weld_04_circuit_1244_0_n10.png,circuit_1244.jpg,n7,0,n10,INTER-COMPONENT,,4,2,1,655,2.54,657,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
8,weld_08_circuit_1244_0_n8.png,circuit_1244.jpg,n9,0,n8,INTER-COMPONENT,,4,1,1,171,1.77,171,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
9,weld_09_circuit_1244_n7_n8.png,circuit_1244.jpg,n9,n7,n8,INTER-COMPONENT,,4,1,1,171,1.77,171,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
11,weld_11_circuit_1244_0_n7.png,circuit_1244.jpg,n11,0,n7,INTER-COMPONENT,,4,3,1,236,1.66,236,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
44,weld_44_circuit_1244_0_n11.png,circuit_1244.jpg,n14,0,n11,INTER-COMPONENT,,,0,0,5,1.34,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared"
2,weld_02_circuit_1256_n3_n4.png,circuit_1256.jpg,0,n3,n4,INTER-COMPONENT,,3,3,1,339,3.78,428,40.3,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged"
5,weld_05_circuit_1256_0_n3.png,circuit_1256.jpg,0,0,n3,INTER-COMPONENT,,3,4,1,458,2.37,545,40.3,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged  [rule-applied, not individually inspected]"
10,weld_10_circuit_1256_n1_n4.png,circuit_1256.jpg,0,n1,n4,INTER-COMPONENT,,3,1,1,152,1.69,341,102.0,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged  [rule-applied, not individually inspected]"
30,weld_30_circuit_1256_n2_n7.png,circuit_1256.jpg,n4,n2,n7,INTER-COMPONENT,,,0,0,3,1.5,3,62.3,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
39,weld_39_circuit_1256_n2_n3.png,circuit_1256.jpg,0,n2,n3,INTER-COMPONENT,,3,2,1,217,1.38,304,40.3,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged  [rule-applied, not individually inspected]"
40,weld_40_circuit_1256_0_n1.png,circuit_1256.jpg,0,0,n1,INTER-COMPONENT,,,0,0,28,1.37,458,117.1,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
50,weld_50_circuit_1256_0_n2.png,circuit_1256.jpg,0,0,n2,SELF-SHORT,17,,0,0,5,1.33,4,163.2,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
51,weld_51_circuit_1256_n2_n4.png,circuit_1256.jpg,0,n2,n4,SELF-SHORT,14,,0,0,3,1.33,4,102.0,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
14,weld_14_circuit_1268_0_n4.png,circuit_1268.jpg,0,0,n4,SELF-SHORT,0,4,4,1,129,1.59,551,102.2,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
31,weld_31_circuit_187_0_n6.png,circuit_187.jpg,0,0,n6,SELF-SHORT,1,,0,0,1,1.5,3,244.4,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
52,weld_52_circuit_187_0_n5.png,circuit_187.jpg,0,0,n5,SELF-SHORT,12,,0,0,6,1.33,4,42.5,,SELF-SHORT,"one component, both pins on one node - not a crossing question; snapping/mask defect  [rule-applied, not individually inspected]"
41,weld_41_circuit_198_0_n5.png,circuit_198.jpg,n6,0,n5,INTER-COMPONENT,,3,4,1,121,1.37,121,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark  [rule-applied, not individually inspected]"
42,weld_42_circuit_198_n3_n5.png,circuit_198.jpg,n6,n3,n5,INTER-COMPONENT,,3,4,1,121,1.37,121,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
34,weld_34_circuit_210_0_n1.png,circuit_210.jpg,n1,0,n1,INTER-COMPONENT,,4,1,1,231,1.46,233,191.9,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
